id,type,subtype,name,bill_number,congress,title,long_title,congress_website_title,congress_website_abstract,date_filed,scope,subjects,authors_raw,senate_website_permalink,download_url_sources,authors
01K6D891MPYEG0R4F1P75CTT2X,bill,HB,HBN-06500,6500,16,,,"AN ACT AMENDING ARTICLE 202 OF ACT NO. 3815, AS AMENDED, OTHERWISE KNOWN AS THE REVISED PENAL CODE TO INCLUDE MALE PROSTITUTES IN PENALIZING PROSTITUTION",,2016-04-14,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06500.pdf'],"[{'aliases': ['Bing'], 'name_suffix': None, 'last_name': 'Leonardia', 'id': '01K5ST48TPN29WCAX9H2EYPNSY', 'middle_name': 'R', 'first_name': 'Evelio'}]"
01K6D891MXAHSXZRSJG1TBKRAZ,bill,HB,HBN-06501,6501,16,,,AN ACT MANDATING ALL PENAL INSTITUTIONS TO IMPLEMENT A VOCATIONAL EDUCATION AND TRAINING PROGRAM FOR PRISONERS AND APPROPRIATING FUNDS THEREFOR,,2016-04-14,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06501.pdf'],"[{'aliases': ['Bing'], 'name_suffix': None, 'last_name': 'Leonardia', 'id': '01K5ST48TPN29WCAX9H2EYPNSY', 'middle_name': 'R', 'first_name': 'Evelio'}]"
01K6D891MXAHSXZRSJG1TBKRB0,bill,HB,HBN-06502,6502,16,,,AN ACT DECLARING EVERY 18TH OF JANUARY OF EACH YEAR AS 'NATIONAL KASAMBAHAY DAY',,2016-04-14,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06502.pdf'],"[{'aliases': ['Bing'], 'name_suffix': None, 'last_name': 'Leonardia', 'id': '01K5ST48TPN29WCAX9H2EYPNSY', 'middle_name': 'R', 'first_name': 'Evelio'}]"
01K6D891MXAHSXZRSJG1TBKRB1,bill,HB,HBN-06503,6503,16,,,AN ACT DECLARING EVERY 20TH OF DECEMBER OF EACH YEAR AS 'OVERSEAS FILIPINO WORKERS' (OFW) DAY,,2016-04-14,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06503.pdf'],"[{'aliases': ['Bing'], 'name_suffix': None, 'last_name': 'Leonardia', 'id': '01K5ST48TPN29WCAX9H2EYPNSY', 'middle_name': 'R', 'first_name': 'Evelio'}]"
01K6D891MXAHSXZRSJG1TBKRB2,bill,HB,HBN-06504,6504,16,,,AN ACT ESTABLISHING AN ENHANCE PROGRAM TO COUNTER ABSENTEEISM IN STUDENTS IN PRIMARY AND SECONDARY LEVEL OF EDUCATION,,2016-04-14,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06504.pdf'],"[{'aliases': ['Bing'], 'name_suffix': None, 'last_name': 'Leonardia', 'id': '01K5ST48TPN29WCAX9H2EYPNSY', 'middle_name': 'R', 'first_name': 'Evelio'}]"
01K6D891MXAHSXZRSJG1TBKRB3,bill,HB,HBN-06505,6505,16,,,"AN ACT ESTABLISHING SPECIAL LANES AND PROVIDING MECHANISM IN CROSSING THE STREET FOR PERSONS WITH DISABILITIES, SENIOR CITIZENS AND PREGNANT WOMEN",,2016-04-14,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06505.pdf'],"[{'aliases': ['Bing'], 'name_suffix': None, 'last_name': 'Leonardia', 'id': '01K5ST48TPN29WCAX9H2EYPNSY', 'middle_name': 'R', 'first_name': 'Evelio'}]"
01K6D891MXAHSXZRSJG1TBKRB4,bill,HB,HBN-06506,6506,16,,,AN ACT GIVING SPECIAL ASSISTANCE AND BENEFITS TO SEASONAL FARM WORKERS,,2016-04-14,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06506.pdf'],"[{'aliases': ['Bing'], 'name_suffix': None, 'last_name': 'Leonardia', 'id': '01K5ST48TPN29WCAX9H2EYPNSY', 'middle_name': 'R', 'first_name': 'Evelio'}]"
01K6D891MXAHSXZRSJG1TBKRB5,bill,HB,HBN-06507,6507,16,,,"AN ACT TO IMPROVE CONDITIONS IN PRISONS AND OTHER DETENTION FACILITIES, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",,2016-04-14,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06507.pdf'],"[{'aliases': ['Bing'], 'name_suffix': None, 'last_name': 'Leonardia', 'id': '01K5ST48TPN29WCAX9H2EYPNSY', 'middle_name': 'R', 'first_name': 'Evelio'}]"
01K6D891MY8MJGADVG2J57WGV8,bill,HB,HBN-06508,6508,16,,,"AN ACT AMENDING ARTICLE 1755 OF REPUBLIC ACT NO. 386, AS AMENDED, OTHERWISE KNOWN AS THE CIVIL CODE OF THE PHILIPPINES TO INCLUDE AND COVER OPERATORS AND/OR OWNERS OF TRANSPORT TERMINALS IN THEIR EXERCISE OF EXTRA-ORDINARY DILIGENCE IN PROVIDING CARE AND SAFETY TO PASSENGERS/TRAVELLERS OR ANY PERSON IN THEIR PREMISES",,2016-04-14,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06508.pdf'],"[{'aliases': ['Bing'], 'name_suffix': None, 'last_name': 'Leonardia', 'id': '01K5ST48TPN29WCAX9H2EYPNSY', 'middle_name': 'R', 'first_name': 'Evelio'}]"
01K6D891MY8MJGADVG2J57WGV9,bill,HB,HBN-06509,6509,16,,,AN ACT REQUIRING PUBLIC AND PRIVATE ELEMENTARY SCHOOLS TO HOLD A FAMILY DAY AT LEAST ONCE EVERY SEMESTER,,2016-04-14,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06509.pdf'],"[{'aliases': ['Bing'], 'name_suffix': None, 'last_name': 'Leonardia', 'id': '01K5ST48TPN29WCAX9H2EYPNSY', 'middle_name': 'R', 'first_name': 'Evelio'}]"
01K6D891MY8MJGADVG2J57WGVA,bill,HB,HBN-06510,6510,16,,,"AN ACT MANDATING THE INSTALLATION OF HIGH-SPEED WIRELESS BROADBAND CONNECTION IN ALL LOCAL GOVERNMENT OFFICES, SECONDARY SCHOOLS, AND TERTIARY SCHOOLS, COLLEGES, AND UNIVERSITIES NATIONWIDE, ALLOWING FREE INTERNET ACCESS TO THE PUBLIC, AND PROVIDING FUNDS THEREFOR",,2016-04-14,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06510.pdf'],"[{'aliases': ['Bebot'], 'name_suffix': None, 'last_name': 'Abellanosa', 'id': '01K5ST3ZRZ76ACPP51MMDQRCA7', 'middle_name': 'Abellana', 'first_name': 'Rodrigo'}]"
01K6D891MPYEG0R4F1P75CTT2T,bill,HB,HBN-06497,6497,16,,,AN ACT CREATING A NEW DISTRICT ENGINEERING OFFICE IN THE THIRD LEGISLATIVE DISTRICT OF THE PROVINCE OF ZAMBOANGA DEL NORTE AND APPROPRIATING FUNDS THEREFOR,,2016-04-13,National,[],,,[],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Amatong', 'id': '01K5ST40N819M2R38HGPSTRB5Z', 'middle_name': 'Sybico', 'first_name': 'Isagani'}]"
01K6D891MPYEG0R4F1P75CTT2V,bill,HB,HBN-06498,6498,16,,,"AN ACT RENAMING GOVERNOR'S DRIVE, STRETCHING FROM SORO-SORO BRIDGE IN BINAN, LAGUNA TRAVERSING CARMONA NAIC AND TERNATE, CAVITE, AS JUANITO R. REMULLA, SR. ROAD",,2016-04-13,National,[],,,[],"[{'aliases': ['Jon-Jon'], 'name_suffix': 'IV', 'last_name': 'Ferrer', 'id': '01K5ST46B4R8AS2QRRW2W4A7G3', 'middle_name': 'A', 'first_name': 'Luis'}]"
01K6D891MPYEG0R4F1P75CTT2S,bill,HB,HBN-06496,6496,16,,,AN ACT REGULATING THE WORK SCHEDULE AND OTHER TERMS OF ENGAGEMENT GOVERNING CINEMA/RADIO/TV/THEATER AND OTHER MEDIA PERSONNEL WHO ARE COVERED BY A SERVICE OR TALENT CONTRACT AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF AND FOR OTHER PURPOSES,,2016-04-12,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06496.pdf'],"[{'aliases': ['Winnie'], 'name_suffix': None, 'last_name': 'Castelo', 'id': '01K5ST438NRJ1T8FA5N6QSBVWY', 'middle_name': '', 'first_name': 'Winston'}]"
01K6D891MPYEG0R4F1P75CTT2R,bill,HB,HBN-06495,6495,16,,,"AN ACT RESETTING THE 2016 BARANGAY ELECTIONS TO THE LAST MONDAY OF OCTOBER 2018, AND EVERY FIVE YEARS THEREAFTER, AND SETTING THE TERM OF OFFICE OF ELECTED BARANGAY AND SANGGUNIANG KABATAAN OFFICIALS TO FIVE YEARS",,2016-04-04,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06495.pdf'],"[{'aliases': ['Jerry'], 'name_suffix': None, 'last_name': 'Treñas', 'id': '01K5ST4FDBW0Z9RMSPGDE3JMET', 'middle_name': 'Perez', 'first_name': 'Buenaventura Geronimo'}]"
01K6D891MNRWPJJPNXSS648YBG,bill,HB,HBN-06487,6487,16,,,AN ACT PROVIDING FOR THE CONSTRUCTION OF A MULTI-PURPOSE GYM IN ALL MUNICIPALITIES AND CITIES TO SERVE AS EVACUATION CENTERS DURING TIMES OF CALAMITY OR DISASTER AND APPROPRIATING FUNDS THEREFOR,,2016-03-21,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06487.pdf'],"[{'aliases': None, 'name_suffix': 'III', 'last_name': 'Vargas', 'id': '01K5ST4FW7543EG501NWTE1FSP', 'middle_name': 'Dumlao', 'first_name': 'Alfred Paolo'}]"
01K6D891MNRWPJJPNXSS648YBH,bill,HB,HBN-06488,6488,16,,,AN ACT GRANTING PUBLIC ELEMENTARY SCHOOL STUDENTS FREE ADMISSION TO ALL PUBLIC MUSEUMS AND NATIONAL HISTORICAL SHRINES AND LANDMARKS,,2016-03-21,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB06488.pdf'],"[{'aliases': None, 'name_suffix': 'III', 'last_name': 'Vargas', 'id': '01K5ST4FW7543EG501NWTE1FSP', 'middle_name': 'Dumlao', 'first_name': 'Alfred Paolo'}]"
